Question,DocumentAnswer1,DocumentAnswer2,DocumentAnswer3
How can I upgrade a database?,"Question: How do I upgrade my model to the new version? Answer:	Before upgrading your model to the new version, make sure to make a copy of your model. To upgrade your model to the new version, simply lauch the new version and point to the database you want to upgrade and follow the steps on your screen. 
Filename: empyrean:Questions_Kimy_0009
Score: 0.612246513
","EMPYREAN DATABASES - DATABASE VERSIONS The Empyrean application can, in most cases, automatically upgrade your database structure for new releases. There are cases where a minimum version is required for the upgrade. In this case, the databases must be first upgraded to the minimum version with an older Empyrean version. The following table shows recent database version numbers along with the first Empyrean release using the version and any required minimum versions. If Empyrean reports you have a different version than listed below or if you have issues upgrading a database, please contact Empyrean Support. Model Database Tables:\n- Database Internal Version: 702 | First Empyrean Release: 5.7.4 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 800 | First Empyrean Release: 5.8.0 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 900 | First Empyrean Release: 5.9.0 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 1002 | First Empyrean Release: 20.5.0 | Minimum Version to Upgrade: 800\n- Database Internal Version: 1102 | First Empyrean Release: 20.12.0 | Minimum Version to Upgrade: 800\n\nDatabase Internal Version:\n- Database Internal Version: 1200 | First Empyrean Release: 21.06.0 | Minimum Version to Upgrade: 800\n- Database Internal Version: 1202 | First Empyrean Release: 21.09.0 | Minimum Version to Upgrade: 800\n- Database Internal Version: 1302 | First Empyrean Release: 21.12.0 | Minimum Version to Upgrade: 800\n- Database Internal Version: 1402 | First Empyrean Release: 22.09.0 | Minimum Version to Upgrade: 800\n- Database Internal Version: 1404 | First Empyrean Release: 22.12.0 | Minimum Version to Upgrade: 800\n\nCurrent Position Database Tables (local to ALM):\n- Database Internal Version: 202 | First Empyrean Release: 5.7.4 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 204 | First Empyrean Release: 5.8.0 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 208 | First Empyrean Release: 5.9.0 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 210 | First Empyrean Release: 20.5.0 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 214 | First Empyrean Release: 20.12.0 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 216 | First Empyrean Release: 21.12.0 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 302 | First Empyrean Release: 22.09.0 | Minimum Version to Upgrade: N/A\n- Database Internal Version: 304 | First Empyrean Release: 22.12.0 | Minimum Version to Upgrade: 202\n\nExtra Database Tables:\n- Database Internal Version: 4 | First Empyrean Release: 5.8.0 | Minimum Version to Upgrade: N/A 
Filename: empyrean:Empyrean User Guide 22.12.pdf_013_0017_text
Score: 0.570311368
","Upgrading Empyrean ALM

Please take the following steps to upgrade Empyrean ALM:
1. Open Empyrean ALM in the version that you wish to upgrade to.
<Base64Image>
2. Open the DB you want to upgrade.
3. You will get a prompt asking you to upgrade since the DB you are trying to open is still compatible with an older version.
https://desk.zoho.com/support/empyreansolutions/ShowHomePage.do#Solutions/dv/204353000019553129/en
<Base64Image>
4. Click ""Upgrade Database and continue signon"". This will upgrade your DB.
Please keep in mind that once you upgrade, you will not be able to open this DB in an older version.
https://desk.zoho.com/support/empyreansolutions/ShowHomePage.do#Solutions/dv/204353000019553129/en 
Filename: empyrean:How-To-Upgrade-to-21-06-1.pdf_000_0000_with_image
Score: 0.495177358
"
How can I create a user field?,"Question: How do I add a user define field? Answer:	Select ""User Fields"" in the ""Model Setup"" section to add user defined fields. If you want to populate instrument level data, these fields must be added to the instrument tables. To do so, select the ""Add User Fields"" under ""DB Tools"" menu. 
Filename: empyrean:Questions_Kimy_0008
Score: 0.614454269
","ADD USER FIELDS      Empyrean provides this utility to view existing user fields and add user fields to the tables if necessary. Note this   this only applies to ALM local CP databases.    
Filename: empyrean:Empyrean User Guide 22.12.pdf_135_0229_text
Score: 0.558252513
","User Fields    • User-specified current position database fields allow additional flexibility for fixed income security characteristics       o User fields may be numeric, text or dates       o User fields can be used in lookup tables and instrument-level equations       o User fields are defined in the model database and user-added to the current position database    • User Fields also add to partition specifications for marginal instruments and default behavior 
Filename: empyrean:2021 Training Lessons vf _ ANON.pdf_013_0003_text
Score: 0.532496274
"
How can I create an alternate view?,"Question: How do I create an alternate view? Answer:	Alternate Views are created under ""Model Settings"" / ""Alternate Views"". Create new rollups and assign existing planning accounts to them. 
Filename: empyrean:Questions_Kimy_0010
Score: 0.708939
","Question: Can I create a controller statement accessing an Alternate View?   Answer: Yes alternate totals can be referenced in controller statements the same way as any other balance sheet or income statement accounts. 
Filename: empyrean:sample_question_answer_0036
Score: 0.582650304
","ALTERNATE BALANCE SHEET AND INCOME STATEMENT VIEWS Sometimes regulatory or analytical reports dictate a structure different that typical of management reports. Then it is useful to be able to “roll up” the primary balance sheet and income statement account lines into an alternate set of total lines that are separate and apart from those of the primary sheet view. Provided the lowest level of detail is available for both purposes it is possible to create both structures within a single Empyrean simulation model. The navigation tree under Model Settings includes branches labeled “Alternate Views”. From this branch the user may create a set of total lines containing their own children and organizational hierarchy in a manner very similar to the creation of the primary hierarchy. New views may be added by clicking the branch ‘Add New View…’ Empyrean automatically names new views, but the user may rename them by right clicking the name. The alternate view worksheet has the following headers: <Base64Image> Alternate totals may be created here (and only here) by setting the “Control” column to “Alternate Total” and giving the new total a valid name and unique mnemonic, account number and parent account number. Accounts from the primary balance sheet, including primary total lines, may be assigned to the new alternate total simply by providing the desired account number and designating the new alternate total as the parent account. Alternate views may not create new primary calculation accounts, only alternate total lines. All basic simulation (non-total) account lines must exist in the primary view. However, unlike the primary view account lines may appear multiple times within an alternate view. Therefore, it is possible for a single alternate view to have, for example, the investment portfolio aggregated by AFS, HTM and MTM and another set of totals within the same alternate view based on repricing characteristics, with each of the primary accounts appearing twice. 
Filename: empyrean:Empyrean User Guide 22.12.pdf_020_0028_with_image
Score: 0.490352333
"
How can I apply or remove an absolute  or a rate shock floor?," Question: How can I apply or remove an absolute or a rate shock floor? To apply or remove an absolute or rate shock floor in Empyrean, you can follow these steps:  1. Go to the Rate Indices section in Model Settings. 2. Populate the Rate Indices Editor with the necessary information, such as Name, Mnemonic, FTP TableName, and Rate Shock Floors. 3. In the Rate Shock Floors field, you can specify the rate floor(s) that should be applied to the yield curve in downward rate shock scenarios. 4. The default options for this property are zero and none, but you can also define non-zero floors in lookup tables and reference them here. 5. The lookup table for rate shock floors can include any combination of dimensions, such as tenor, forecasting period, and curve. 6. It's important to note that these rate shock floors do not override user-provided forecast values or affect stochastic income simulation. They are only used for interest rate shocks in an automated Multi-Simulation. 7. Additionally, interest rate index equations are evaluated after the application of floors and are not subject to these constraints. 8. Linked indices have their own cap and floor parameters and are not affected by lookup table floors.  Please refer to the """"ESTABLISHING FLOORS FOR SHOCKED RATES"""" section of the user guide for more detailed information on this topic. 
Filename: empyrean:Question and Answer jb - UAT - 10-30.pdf_018
Score: 0.789348602
","CREATING A RATE SHOCK SCENARIO

1. Go to Multiple Sims
<Base64Image>

2. Click on Edit on the Shock Scenarios window
<Base64Image>

3. Populate the Shock Scenarios grid: Rate Shock Name, Shock Mnemonic, and Shock Number. Select either Parallel or Relative as a Shock Type. Choose an appropriate Rate Source. Enter Parallel Amount if the shock type is Parallel (e.g. up 100 bps – “0.01”, or down 50 bps – “-0.005”)
<Base64Image>

4. If the Shock Type is Relative, populate the Shock Data grid with the Mnemonics of the curve that is being shocked and the amount of shock that should be applied for each period. 
Filename: empyrean:Rate Shocks & Alternate Scenarios Tutorial.pdf_001_0001_with_image
Score: 0.49091208
","Question: I ran a rate shock scenario and the rate shock is doubled.  What went wrong? Answer:  It is possible you ran a shock scenario using a rate shock as the parent, essentially doubling the rate shock (a shock of a shock). 
Filename: empyrean:Question and Answer jb - UAT - 10-30.pdf_003
Score: 0.445039332
"
How can I model negative new business?,"Question: How to model negative new business in the context of forecasting balance sheets and income statements ? Answer: Forecasts – Setting Targets for Balance Sheets and Income Statements - Forecast target balances by average, end of period, adds, or as flat - Targets may be set explicitly or by equation - “With Rollover” trading day options smooth average and end-of-period fluctuations - Negative marginal values are not allowed - Negative new business is not allowed 
Filename: empyrean:2021 Training Lessons vf _ ANON.pdf_011_0003_text
Score: 0.685371935
","CREATING Credit Models 1) Go to Model Settings <Base64Image> 2)  2) Click on Credit Models3) Populate the credit model editor grid * Conditional Default Rate (CPR), Single Monthly Mortality (SMM), or Literal default amount (LIT) 
Filename: empyrean:Credit Models Tutorial.pdf_003_0007_with_image
Score: 0.385071516
","**D. Investments**  | **Section**   | **Description**                                                                                                                                      | |---------------|------------------------------------------------------------------------------------------------------------------------------------------------------| | **Objectives**| Familiarize trainee on how investments are loaded and analyzed using internal systems and direct feeds from vended services. Look at a range of security types, what information needs to be loaded. | |               | - Demonstrate using assumptions ingested from external services, running OAS functionality to calculate market values.                                 | | **Lesson**    | - Describe alternative ways base information, market values, cash flows, and other security characteristics can be and are loaded into the system.     | |               | - Describe common practices and pitfalls.                                                                                                             | |               | - Share what securities are too complex to be done in a model and should be done by specialized third parties.                                        | |               | - Investments to include agency and non-agency CMOs and passthroughs, Muni GO and Revenue bonds, corporate bonds with and without options.          | | **Exercise**  | - Load external feeds for a group of securities by scenario to calculate market values.                                                              | |               | - Rerun results with static cash flows to see how changes to the valuation approach impacts results.                                                  | |               | - Value securities using inputted assumptions and Empyrean derived cash flows; compare these with an outside source.                                  | 
Filename: empyrean:2021 Training Lessons vf _ ANON.pdf_058_0022_text
Score: 0.370927364
"
How can I set up an FTP historical rate database?,"FTP HISTORICAL INTEREST RATES      A separate database for historical FTP rates, often daily, is needed for use by the Empyrean FTP system. It will   serve as the source of historical interest rates when Empyrean calculates FTP rates per the rules provided in each   user specified FTP model. These historical FTP rates are integrated into the Empyrean model database as follows:   •   The location of the historical FTP rates database is given in the Connections section found in the Model   Setup section of the Home tab.   •   The Empyrean yield curves and indices that are used for FTP are linked to this FTP rate history through the   FTP TableName setup property of each curve or index. If no FTP TableName is provided, the existing   history included within the standard Empyrean model will be used instead for any historical FTP rates.   •   Monthly Moving average rates are possible by creating a “ Linked Index ” interest rate and setting its   CalcType property to Monthly Average . The Pricing Term Mths property specifies the point to average   (for yield curves) and the Pricing Lag Mths property contains the time span over which to average.    
Filename: empyrean:Empyrean User Guide 22.12.pdf_073_0124_text
Score: 0.710145235
","VIEWING RATES IN THE FTP DATABASE -  The interest rate data in the FTP Historical Rate Database may be viewed with the FTP Viewer tool on the Transfer Pricing tab.  <Base64Image> 
Filename: empyrean:Empyrean User Guide 22.12.pdf_077_0132_with_image
Score: 0.676666141
","Operating Procedures - IMPORTING HISTORICAL FTP RATES

Note: This step only applies to clients utilizing Empyrean FTP.

1. Update and load Historical Rates from the Transfer Pricing Tab
<Base64Image>

Calculate FTP Rates
1. Execute the Copy FTP Rates
   a. This step copies FTP rates from the previous month to the current position data
      matching based on SecID. This preserves the FTP rates for instruments that will not be recalculated
      in the next step.
2. Execute CP FTP Calculator for recently issued instruments
<Base64Image>
   a. This step does the following:
      i. Calculates new FTP rates for instruments in the Reset/Issuance window
      ii. Retrieves FTP rates for instruments that have not reset from the CP data.
<Base64Image>

3. Export and review FTP Results 
Filename: empyrean:Operating Procedures_ALM.pdf_005_0006_with_image
Score: 0.624730468
"
How can I set up multi entity?,"Multi-Entity Tutorial - Create Entities

<Base64Image>
1. 
In the model setup tab, go to Model Settings 
<Base64Image>
2. 
Click on Entities 
<Base64Image>
3. 
Populate the Entity editor grid 
<Base64Image>
Entity Number (user-defined): Unique positive integer for identifying entities 
Name (user-defined): Long name for the account. Serves as the user-friendly account identifier 
displayed on model editor and viewer screens. Names must be unique across all objects in the 
model. 
Mnemonic (user-defined): The mnemonic is a primary key that identifies the object to Empyrean. 
The Mnemonic also serves as the functional identifier used to reference the entity within equations 
and controller statements. Mnemonics may consist of any combination of alphanumeric characters 
and underscores; however, they may not start with a numeric character nor contain spaces. 
Description (user-defined): User-supplied long description (optional) 
Parent Entity (user-defined): The entity number into which an entity consolidates into 
IsElimination?: Specifies if the entity is an elimination entity. Elimination entities are optional, but 
only one elimination entity should exist for a parent or consolidate entity 
ISBalanced?: Specifies if the entity should be balanced during simulation 
Entity ID List (user-defined): A text list of all EntityID’s (comma or semi-colon delimited) in the 
current position data that map to a particular entity. Special keyword ‘<null>’ specifies null or 
missing EntityID’s in the current position be mapped to an entity. ‘<default>’ causes all EntityID’s not 
otherwise specified to map into an entity. 
4) Close Edit 
5) Update data to dataset and close editor 
Filename: empyrean:Multi-Entity Tutorial.pdf_002_0002_with_image
Score: 0.632052839
","Multi-Entity Tutorial - BACKGROUND A model can include multiple entities (either legal entities or other subdivisions of the institution), each having the same balance sheet and income statement definition. Each account in each entity has its own forecast and result values, and the entity hierarchy can include multiple consolidation levels and optional elimination entities. If no entity is specified, Empyrean will create a single default entity. 
Filename: empyrean:Multi-Entity Tutorial.pdf_000_0000_text
Score: 0.614158154
","Multi-Entity Tutorial - Updating CP Input

<Base64Image>

Two data fields will need to be populated for Entity modelling:
EntityID (user-defined): Unique identifier for CP data corresponding to given entity. Multiple EntityIDs can be mapped to a single Entity. Any record without any EntityID will be mapped to the entity with <null> in the EntityID list. Any record with an EntityID not explicitly specified in the EntityID List will be mapped to the entity with <default> in EntityID List.

<Base64Image>

In the above example, all records with EntityID BK15 will be mapped to Bank 1. Records with no EntityID will be mapped to Consolidated.

InterCompanyID (user-defined): EntityID of counterparty for intercompany transactions, only required for intercompany transactions. 
Filename: empyrean:Multi-Entity Tutorial.pdf_004_0003_with_image
Score: 0.594009221
"
How can I set up a credit model?,"CREATING Credit Models 1) Go to Model Settings <Base64Image> 2)  2) Click on Credit Models3) Populate the credit model editor grid * Conditional Default Rate (CPR), Single Monthly Mortality (SMM), or Literal default amount (LIT) 
Filename: empyrean:Credit Models Tutorial.pdf_003_0007_with_image
Score: 0.667106628
","Assigning Credit Models 1)Go to Model Settings 2)Select Fixed Income, Non-Maturity, Swap, or Intangible from the partitions <Base64Image>  3) Populate Credit Model <Base64Image> Credit Model (enumeration): mnemonic of credit model used for defaults and losses ECL Credit Model (enumeration): Mnemonic of the ECL credit model used for expected credit losses Credit Class (user-defined): alphanumeric credit classification string Credit Score (user-defined): numeric credit classification number 
Filename: empyrean:Credit Models Tutorial.pdf_003_0008_with_image
Score: 0.625728369
","Assigning ECL Models 1)Go to Model Settings  <Base64Image> 2)Select Fixed Income, Non-Maturity, Dual Rate or Revolvers from the partitions 3) Populate ECL Credit Models ECL Credit Model (enumeration): mnemonic of ECL credit model used  
Filename: empyrean:Expected Credit Loss Models.pdf_002_0012_with_image
Score: 0.586661458
"
How can I set up a CECL models?,"CREATING ECL Models    1) Go to Model Settings    2) Click on ECL Models    3) Populate the ECL model editor grid 
Filename: empyrean:Expected Credit Loss Models.pdf_001_0007_text
Score: 0.472243339
","Assigning ECL Models 1)Go to Model Settings  <Base64Image> 2)Select Fixed Income, Non-Maturity, Dual Rate or Revolvers from the partitions 3) Populate ECL Credit Models ECL Credit Model (enumeration): mnemonic of ECL credit model used  
Filename: empyrean:Expected Credit Loss Models.pdf_002_0012_with_image
Score: 0.429864228
","CREATING AND BUILDING THE MODEL      Models can be constructed from scratch via the ‘ Create New ’ option found under the File Menu or the ‘Create…’   button on the ‘Get Started’ sign on screen. Another option is starting with an existing model and editing the   content. Once loaded by Empyrean the Model Settings editor is provided for inserting and setting up the accounts   and the support components, including all the parameter values. Closing the settings editor will cause Empyrean to   prompt the user for permission to save the edits. Saves at this stage are made only to a copy of the model held in   memory. To commit the model to the database, use the Save option on the File Menu, or use the Comment Save   to include notes to be added to the database change history.    
Filename: empyrean:Empyrean User Guide 22.12.pdf_010_0008_text
Score: 0.383302152
"
How can I disable prepayments?,"You can disable prepayments in Empyrean using a factor index. A factor index is an exogenous account in which you can enter a percentage by which to increase or decrease the speeds generated by a prepayment model. In order to disable retail card decays in the Forecast Balance Sheet scenario, you will have to create an exogenous account (Retail Card Decay Factor in the example below), assign it to the retail card prepayment models then populate it with a value of -100% in the scenario in which you would like to reduce the RC decay rates by 100%. 
Filename: empyrean:empyrean_custom_doc_1.pdf
Score: 0.500922561
"," Question: How do I turn off stochastic valuation? Answer:	Check the box ""Override OAS Calculations"" under Single Sim or Multi Sims to disable the OAS calculations. 
Filename: empyrean:Questions_Kimy_0022
Score: 0.443076551
","  Setting prepayment approach -  It displays an interface focused on setting and managing prepayment models:  1. At the top, there's a toolbar with icons for various actions such as ""Paste,"" ""Copy,"" and others, followed by tabs for functionalities like ""Accounts,"" ""Categories,"" ""Interest Rates,"" and prominently highlighted ""Prepay Models."" 2. On the left is a section titled ""Prepays"" listing various prepayment models like ""ARM Prepay Model,"" ""CD Prepayments,"" and more. ""ARM Prepay Model"" is currently selected. 3. In the center, there's a grid with columns labeled A to K, which is currently empty, with a note indicating ""No data to edit."" 4. On the right, there's a ""Properties"" pane detailing settings for the selected ""ARM Prepay Model."" Attributes like ""Name,"" ""Mnemonic,"" and ""Prepay Method"" are shown. Under the ""Empyrean Controls"" section, various settings like ""Prepay Type,"" ""Applies To,"" and ""Seasonality"" can be adjusted. 5. Annotations ""System Values"" and ""User Created Values"" point towards the grid and ""Properties"" pane respectively, indicating potential areas to input or view data.  <Base64Image> 
Filename: empyrean:2021 Training Lessons vf _ ANON.pdf_081_0039_with_image
Score: 0.419639945
"
